obs_ID,date,STG_n,time,hrd_size,area,beau,psd,effort,type,northing,easting,season,boat_assoc,P_or_S,lat_ROK,lon_ROK,hrd_size_ROK
OB0122,2022/12/02,1,1013,5,W_LANTAU,3,34,ON,HKCRP,813878,803308,WINTER,NONE,S,22.26340264,113.8570942,5
OB0123,2022/12/06,1,1021,3,W_LANTAU,3,33,ON,HKCRP,812308,802181,WINTER,NONE,S,22.24920285,113.8461934,3
OB0124,2022/12/06,2,1036,5,W_LANTAU,3,534,ON,HKCRP,810825,801497,WINTER,PURSE-SEINE,S,22.23579696,113.83959,5
OB0125,2022/12/06,3,1103,1,W_LANTAU,3,41,ON,HKCRP,806273,801971,WINTER,NONE,S,22.19469934,113.8442848,1
OB0126,2022/12/06,4,1158,1,SW_LANTAU,3,115,ON,HKCRP,807670,806563,WINTER,NONE,P,22.20739993,113.8887887,1
OB0127,2022/12/13,1,1015,1,W_LANTAU,3,66,ON,HKCRP,813359,802699,WINTER,NONE,S,22.25870407,113.8511966,1
OB0128,2022/12/14,1,1319,4,W_LANTAU,3,60,ON,HKCRP,813170,802626,WINTER,NONE,S,22.25699588,113.8504923,4
OB0129,2022/12/14,2,1421,1,W_LANTAU,4,4,ON,HKCRP,807319,799819,WINTER,NONE,S,22.20410135,113.8233927,1
OB0130,2022/12/16,1,1035,5,NW_LANTAU,3,69,ON,HKCRP,817618,804614,WINTER,NONE,S,22.29720118,113.8696912,5
OB0131,2022/12/21,1,1334,4,W_LANTAU,4,86,ON,HKCRP,805465,801732,WINTER,PURSE-SEINE,P,22.18739788,113.8419844,4
OB0132,2023/01/03,1,1253,1,W_LANTAU,2,11,ON,HKCRP,813558,802647,WINTER,NONE,S,22.26050013,113.850688,1
OB0133,2023/01/03,2,1305,2,W_LANTAU,3,23,ON,HKCRP,812364,801748,WINTER,NONE,S,22.24969996,113.8419917,2
OB0134,2023/01/03,3,1341,2,W_LANTAU,3,183,ON,HKCRP,806195,801982,WINTER,NONE,S,22.19399517,113.8443931,2
OB0135,2023/01/03,4,1425,10,SW_LANTAU,3,306,ON,HKCRP,806799,804468,WINTER,NONE,P,22.19949707,113.8684884,10
OB0136,2023/01/04,1,1215,8,NW_LANTAU,3,5,ON,HKCRP,817031,804716,WINTER,SHRIMP,P,22.29190215,113.8706926,8
